id,first_name,Surname,Father_Name,Mother_Name,Gender,Birthday,Adress,Email,DeptName,GPA,Academic_Year,Total_Cred,Specialization
1,Blithe,Hobbing,Kelvin,Gael,Male,9/6/1998,08 Dryden Road,khobbing0@homestead.com,Faculty of Informatics and Communication Engineering,2.08,5,155,Informatics Engineering
2,Allie,Geroldi,Fin,Lita,Male,7/9/1998,05 Marcy Hill,fgeroldi1@washington.edu,Faculty of Informatics and Communication Engineering,3.14,4,112,Communication Engineering
3,Korey,Finlator,Car,Lydie,Male,3/7/1996,92 Michigan Junction,cfinlator2@pinterest.com,Faculty of Informatics and Communication Engineering,1.4,3,51,Informatics Engineering
4,Leonid,Bentham,Matthieu,Elise,Female,5/15/2002,6894 Eastwood Avenue,mbentham3@qq.com,Faculty of Informatics and Communication Engineering,3.39,5,156,Informatics Engineering
5,Guido,Battany,Harp,Bobbette,Female,5/6/1996,39 6th Court,hbattany4@liveinternet.ru,Faculty of Informatics and Communication Engineering,3.27,2,40,Communication Engineering
6,Willamina,Traite,Winfield,Tammi,Male,5/12/1999,666 Warner Drive,wtraite5@mapy.cz,Faculty of Informatics and Communication Engineering,1.55,5,160,Informatics Engineering
7,Kelci,Highnam,Nichole,Britt,Male,9/25/2001,66256 Havey Road,nhighnam6@newsvine.com,Faculty of Informatics and Communication Engineering,1.64,1,1,Informatics Engineering
8,Lani,Scotchforth,Reinwald,Marie-jeanne,Male,9/13/1998,595 Messerschmidt Center,rscotchforth7@harvard.edu,Faculty of Informatics and Communication Engineering,2.18,3,76,Communication Engineering
9,Katie,Dummett,Rogerio,Thelma,Female,7/28/1998,932 Lighthouse Bay Junction,rdummett8@naver.com,Faculty of Informatics and Communication Engineering,0.93,3,25,Informatics Engineering
10,Burt,Hamlen,Hussein,Sonnnie,Female,8/30/1996,86059 Utah Drive,hhamlen9@diigo.com,Faculty of Informatics and Communication Engineering,0.62,3,86,Communication Engineering
11,Halie,Cromar,Thibaut,Dianne,Female,10/29/2000,10 Schlimgen Crossing,tcromara@cpanel.net,Faculty of Informatics and Communication Engineering,3.7,3,80,Informatics Engineering
12,Caitlin,Barczynski,Nelson,Kristi,Female,12/11/2002,86 Magdeline Way,nbarczynskib@xrea.com,Faculty of Informatics and Communication Engineering,2.22,2,24,Informatics Engineering
13,Jeniffer,Serck,Curry,Cathyleen,Male,5/13/1999,50574 David Pass,cserckc@webmd.com,Faculty of Informatics and Communication Engineering,3.21,3,63,Communication Engineering
14,Sigismund,Schoenrock,Salvatore,Carie,Male,1/4/1996,93 Barnett Circle,sschoenrockd@blinklist.com,Faculty of Informatics and Communication Engineering,0.79,4,99,Informatics Engineering
15,Mark,Kings,Haroun,Madonna,Female,8/7/1999,461 Calypso Hill,hkingse@gnu.org,Faculty of Informatics and Communication Engineering,1.82,3,76,Communication Engineering
16,Cesare,Starte,Kristo,Margot,Female,7/23/2002,54319 Oxford Pass,kstartef@youtube.com,Faculty of Informatics and Communication Engineering,2.4,3,70,Informatics Engineering
17,Carry,McAllister,Karney,Rosamond,Male,4/1/1999,874 Green Ridge Circle,kmcallisterg@blogspot.com,Faculty of Informatics and Communication Engineering,2.86,1,9,Communication Engineering
18,Chip,Evered,Alessandro,Penni,Male,3/4/2000,23 Oriole Hill,aeveredh@sina.com.cn,Faculty of Informatics and Communication Engineering,0.75,5,139,Informatics Engineering
19,Patrizius,Esplin,Davon,Amelie,Female,3/2/2001,5088 Golf View Road,desplini@blogspot.com,Faculty of Informatics and Communication Engineering,1.81,1,12,Communication Engineering
20,Poul,Crebott,Phillipp,Grayce,Male,4/1/1996,6 Sunfield Circle,pcrebottj@cargocollective.com,Faculty of Informatics and Communication Engineering,2.3,5,130,Informatics Engineering
21,Ileana,Gaffer,Felice,Emmaline,Male,11/13/2001,5552 Westport Hill,fgafferk@infoseek.co.jp,Faculty of Informatics and Communication Engineering,0.85,3,34,Communication Engineering
22,Mariann,Rosendahl,Kev,Suzette,Male,1/24/1999,0372 Dwight Plaza,krosendahll@sohu.com,Faculty of Informatics and Communication Engineering,3.51,4,83,Informatics Engineering
23,Cordi,Cockaday,Steward,Marcelline,Male,9/20/2003,9 Birchwood Crossing,scockadaym@zimbio.com,Faculty of Informatics and Communication Engineering,0.95,5,120,Communication Engineering
24,Nola,Grellier,Allen,Lind,Male,12/19/2003,71204 Mayer Road,agrelliern@furl.net,Faculty of Informatics and Communication Engineering,2.9,1,10,Informatics Engineering
25,Norah,Emanuele,Cheston,Wenona,Female,7/21/2002,2 Fremont Circle,cemanueleo@geocities.jp,Faculty of Informatics and Communication Engineering,3.04,1,18,Communication Engineering
26,Hakim,Snasel,Broddie,Ingeberg,Male,1/26/1996,427 Pankratz Plaza,bsnaselp@technorati.com,Faculty of Informatics and Communication Engineering,2.73,1,13,Informatics Engineering
27,Sephira,Rawlence,Glenden,Doreen,Male,3/20/2002,536 Eagan Circle,grawlenceq@state.tx.us,Faculty of Informatics and Communication Engineering,3.93,5,133,Communication Engineering
28,Norman,Kettlewell,Constantine,Beulah,Male,7/18/1999,816 Menomonie Avenue,ckettlewellr@zimbio.com,Faculty of Informatics and Communication Engineering,1.3,3,74,Informatics Engineering
29,Zitella,Venners,Cory,Stephie,Female,11/6/2002,82 Elmside Plaza,cvennerss@ox.ac.uk,Faculty of Informatics and Communication Engineering,2.49,2,31,Communication Engineering
30,Edan,Longbothom,Vladamir,Tandi,Male,12/6/1997,03 Shoshone Terrace,vlongbothomt@pinterest.com,Faculty of Informatics and Communication Engineering,2,2,23,Informatics Engineering
31,Virgie,McKellen,Ewen,Bee,Female,7/31/2003,1 Homewood Hill,emckellenu@sakura.ne.jp,Faculty of Informatics and Communication Engineering,2.86,4,95,Communication Engineering
32,Jarrad,Kira,Vanya,Alberta,Female,2/11/2003,30 Cody Point,vkirav@myspace.com,Faculty of Informatics and Communication Engineering,2.13,5,145,Informatics Engineering
33,Rosie,Webborn,Alphonse,Alicea,Male,8/15/2003,080 Crownhardt Way,awebbornw@intel.com,Faculty of Informatics and Communication Engineering,1.17,5,137,Communication Engineering
34,Randene,Silvermann,Burnard,Noni,Female,12/3/1998,90 Monica Avenue,bsilvermannx@sitemeter.com,Faculty of Informatics and Communication Engineering,2.18,3,48,Informatics Engineering
35,Pierce,Riall,Gunner,Murial,Male,3/2/2001,8549 6th Park,grially@phpbb.com,Faculty of Informatics and Communication Engineering,2.99,1,18,Communication Engineering
36,Imogene,Lorans,Salmon,Georgina,Female,9/23/1998,41 Holmberg Plaza,sloransz@usgs.gov,Faculty of Informatics and Communication Engineering,3.14,3,67,Informatics Engineering
37,Lynnet,Wittier,Eric,Bride,Female,4/4/1999,29242 Derek Drive,ewittier10@latimes.com,Faculty of Informatics and Communication Engineering,2.62,4,87,Informatics Engineering
38,Kelwin,Maccaddie,Kalvin,Gloriane,Female,8/15/1998,57987 Rieder Center,kmaccaddie11@princeton.edu,Faculty of Informatics and Communication Engineering,2.92,5,128,Communication Engineering
39,Ingemar,Lopez,Tome,Millisent,Male,10/17/2001,673 Iowa Point,tlopez12@163.com,Faculty of Informatics and Communication Engineering,1.99,2,41,Communication Engineering
40,Juieta,Littlefield,Duffy,Marie-jeanne,Female,11/21/1999,0949 Londonderry Junction,dlittlefield13@free.fr,Faculty of Informatics and Communication Engineering,3,2,28,Informatics Engineering
41,Niles,Grzegorek,Gran,Regina,Male,1/6/1996,10 Forest Circle,ggrzegorek14@yellowpages.com,Faculty of Informatics and Communication Engineering,1.88,2,40,Communication Engineering
42,Jeddy,Barnhart,Gibb,Stevena,Female,6/29/2003,3 Sommers Park,gbarnhart15@networksolutions.com,Faculty of Informatics and Communication Engineering,3,5,163,Informatics Engineering
